Julia Version 1.6.0-DEV.27
Commit 35eb898ad7 (2020-05-12 10:33 UTC)
Platform Info:
  OS: Linux (x86_64-linux-gnu)
  CPU: Intel(R) Xeon(R) Silver 4114 CPU @ 2.20GHz
  WORD_SIZE: 64
  LIBM: libopenlibm
  LLVM: libLLVM-9.0.1 (ORCJIT, skylake)
Environment:
  JULIA_DEPOT_PATH = ::/usr/local/share/julia
  JULIA_NUM_THREADS = 2

  Resolving package versions...
  Installed Distances ─ v0.8.2
  Installed MINPACK ─── v1.1.1
Updating `~/.julia/environments/v1.6/Project.toml`
  [4854310b] + MINPACK v1.1.1
Updating `~/.julia/environments/v1.6/Manifest.toml`
  [b4f34e82] + Distances v0.8.2
  [4854310b] + MINPACK v1.1.1
  [8f399da3] + Libdl
  [37e2e46d] + LinearAlgebra
  [de0858da] + Printf
  [9a3f8284] + Random
  [9e88b42a] + Serialization
  [2f01184e] + SparseArrays
  [10745b16] + Statistics
  [4ec0a83e] + Unicode
   Building MINPACK → `~/.julia/packages/MINPACK/8wsGn/deps/build.log`
    Testing MINPACK
Status `/tmp/jl_GgMRa7/Project.toml`
  [b4f34e82] Distances v0.8.2
  [4854310b] MINPACK v1.1.1
  [37e2e46d] LinearAlgebra
  [de0858da] Printf
  [8dfed614] Test
Status `/tmp/jl_GgMRa7/Manifest.toml`
  [b4f34e82] Distances v0.8.2
  [4854310b] MINPACK v1.1.1
  [2a0f44e3] Base64
  [8ba89e20] Distributed
  [b77e0a4c] InteractiveUtils
  [8f399da3] Libdl
  [37e2e46d] LinearAlgebra
  [56ddb016] Logging
  [d6f4376e] Markdown
  [de0858da] Printf
  [9a3f8284] Random
  [9e88b42a] Serialization
  [6462fe0b] Sockets
  [2f01184e] SparseArrays
  [10745b16] Statistics
  [8dfed614] Test
  [4ec0a83e] Unicode
Function                                          Dim    NFEV    NJEV   Final inf-norm     total time
--------------------------------------------------------------------------------------
Rosenbrock-hybr                                     2      16       3     0.000000e+00   8.991746e-01
Rosenbrock-hybr-no_g                                2      16       3     0.000000e+00   4.513609e-01
Rosenbrock-lm                                       2      21      16     0.000000e+00   2.503914e-01
Rosenbrock-lm-no_g                                  2      22      16     0.000000e+00   1.841685e-01
Powell singular-hybr                                4     105       6     6.038676e-35   2.648191e-01
Powell singular-hybr-no_g                           4      96       3     2.278953e-30   1.285922e-01
Powell singular-lm                                  4      59      58     1.540744e-33   3.229311e-01
Powell singular-lm-no_g                             4     235     192     1.080555e-23   1.852333e-01
Powell badly scaled-hybr                            2     169       6     1.712673e-09   2.856761e-01
Powell badly scaled-hybr-no_g                       2     169       6     1.712421e-09   1.426303e-01
Powell badly scaled-lm                              2      19      17     1.110223e-16   2.608923e-01
Powell badly scaled-lm-no_g                         2      19      17     0.000000e+00   1.824175e-01
Wood-hybr                                           4      86       2     3.364109e-11   3.895628e-01
Wood-hybr-no_g                                      4      86       2     3.373679e-11   1.324495e-01
Wood-lm                                             4      32      27     1.920686e-14   2.579196e-01
Wood-lm-no_g                                        4      32      27     1.310063e-14   1.890776e-01
Helical Valley-hybr                                 3      18       3     2.565742e-13   2.646190e-01
Helical Valley-hybr-no_g                            3      18       3     2.565742e-13   1.355127e-01
Helical Valley-lm                                   3      11       8     9.936523e-17   2.606360e-01
Helical Valley-lm-no_g                              3      11       8     8.661763e-17   2.781246e-01
Watson6-hybr                                        6      60       6     3.118270e-13   4.291199e-01
Watson6-hybr-no_g                                   6      60       6     2.739822e-13   1.284910e-01
Watson6-lm                                          6      45      37     1.582588e-14   2.572234e-01
Watson6-lm-no_g                                     6      45      37     6.992670e-15   1.809613e-01
Watson9-hybr                                        9      92       4     3.728515e-12   1.419494e-03
Watson9-hybr-no_g                                   9      95       8     1.715425e-15   1.900298e-03
Watson9-lm                                          9      64      50     2.631359e-14   2.573759e-03
Chebyquad-hybr                                      5      10       1     5.969114e-13   3.115292e-01
Chebyquad-hybr-no_g                                 5      12       1     3.567124e-12   1.347120e-01
Chebyquad-lm                                        5       8       6     1.665335e-16   2.648881e-01
Chebyquad-lm-no_g                                   5       8       6     1.249001e-16   1.911869e-01
Chebyquad-hybr                                      6      13       2     1.317492e-11   1.827560e-04
Chebyquad-hybr-no_g                                 6      13       2     6.447310e-10   1.632240e-04
Chebyquad-lm                                        6      11       7     2.324529e-16   1.783170e-04
Chebyquad-lm-no_g                                   6      11       7     1.249001e-16   2.105070e-04
Chebyquad-hybr                                      7      12       1     4.102544e-12   1.783020e-04
Chebyquad-hybr-no_g                                 7      14       1     2.108302e-10   2.840920e-04
Chebyquad-lm                                        7       9       7     1.665335e-16   2.016310e-04
Chebyquad-lm-no_g                                   7       9       7     2.696256e-16   2.422680e-04
Chebyquad-hybr                                      9      23       2     4.022407e-10   3.693470e-04
Chebyquad-hybr-no_g                                 9      23       2     3.988115e-09   3.899600e-04
Chebyquad-lm                                        9      12       9     2.343804e-16   3.600680e-04
Chebyquad-lm-no_g                                   9      12       9     1.727014e-16   4.506490e-04
Brown almost-linear10-hybr                         10      11       2     4.996004e-15   7.450258e-01
Brown almost-linear10-hybr-no_g                    10      11       2     5.995204e-15   1.411405e-01
Brown almost-linear10-lm                           10      15      13     5.551115e-16   2.727109e-01
Brown almost-linear10-lm-no_g                      10       7       5     1.000000e+00   1.793497e-01
Brown almost-linear30-hybr                         30      12       2     3.474998e-14   1.539062e-03
Brown almost-linear30-hybr-no_g                    30      24       3     2.953193e-14   2.878958e-03
Brown almost-linear30-lm                           30      19      14     1.654232e-14   4.736573e-03
Brown almost-linear30-lm-no_g                      30      11      10     1.354472e-14   3.007660e-03
Brown almost-linear40-hybr                         40      12       2     1.576517e-14   2.986233e-03
Brown almost-linear40-hybr-no_g                    40      30       3     2.353673e-14   6.368975e-03
Brown almost-linear40-lm                           40      19      14     2.409184e-14   1.029796e-02
Brown almost-linear40-lm-no_g                      40      11      10     7.327472e-15   5.496296e-03
Discrete boundary value-hybr                       10       6       1     1.582068e-15   2.937333e-01
Discrete boundary value-hybr-no_g                  10       6       1     1.582068e-15   1.265319e-01
Discrete boundary value-lm                         10       5       4     2.428613e-17   2.694006e-01
Discrete boundary value-lm-no_g                    10       5       4     3.122502e-17   1.836725e-01
Discrete integral equation-hybr                     1       6       1     2.775558e-17   3.151602e-01
Discrete integral equation-hybr-no_g                1       6       1     2.775558e-17   1.303483e-01
Discrete integral equation-lm                       1       5       4     0.000000e+00   2.487529e-01
Discrete integral equation-lm-no_g                  1       5       4     2.775558e-17   1.802365e-01
Discrete integral equation-hybr                    10       6       1     3.164136e-15   1.612490e-04
Discrete integral equation-hybr-no_g               10       6       1     3.219647e-15   1.928340e-04
Discrete integral equation-lm                      10       5       4     2.775558e-17   1.860020e-04
Discrete integral equation-lm-no_g                 10       5       4     5.551115e-17   2.337760e-04
Trigonometric-lm                                   10      28      16     4.295374e-03   7.154973e-01
Trigonometric-lm-no_g                              10      29      16     4.295461e-03   1.912203e-01
Variably dimensioned-hybr                          10      22       1     0.000000e+00   3.056222e-01
Variably dimensioned-hybr-no_g                     10      22       1     2.282952e-12   1.285293e-01
Variably dimensioned-lm                            10      16      15     0.000000e+00   2.535179e-01
Variably dimensioned-lm-no_g                       10      16      15     0.000000e+00   1.712810e-01
Broyden tridiagonal-hybr                           10      12       1     2.377046e-10   2.692166e-01
Broyden tridiagonal-hybr-no_g                      10      12       1     2.377046e-10   1.212590e-01
Broyden tridiagonal-lm                             10       6       5     4.440892e-16   2.348348e-01
Broyden tridiagonal-lm-no_g                        10       6       5     6.661338e-16   1.703861e-01
Broyden banded-hybr                                10      20       1     1.406736e-09   2.927518e-01
Broyden banded-hybr-no_g                           10      20       1     1.406737e-09   1.356283e-01
Broyden banded-lm                                  10       7       6     4.440892e-16   2.775389e-01
Broyden banded-lm-no_g                             10       7       6     6.661338e-16   1.890379e-01
Test Summary: | Pass  Total
minpack       |   81     81
    Testing MINPACK tests passed 
