Julia Version 1.5.0-DEV.275
Commit 2eba23f58f (2020-02-17 02:20 UTC)
Platform Info:
  OS: Linux (x86_64-pc-linux-gnu)
  CPU: Intel(R) Xeon(R) Silver 4114 CPU @ 2.20GHz
  WORD_SIZE: 64
  LIBM: libopenlibm
  LLVM: libLLVM-9.0.1 (ORCJIT, skylake)
Environment:
  JULIA_DEPOT_PATH = ::/usr/local/share/julia
  JULIA_NUM_THREADS = 2

  Resolving package versions...
  Installed MINPACK ─── v1.1.1
  Installed Distances ─ v0.8.2
   Updating `~/.julia/environments/v1.5/Project.toml`
  [4854310b] + MINPACK v1.1.1
   Updating `~/.julia/environments/v1.5/Manifest.toml`
  [b4f34e82] + Distances v0.8.2
  [4854310b] + MINPACK v1.1.1
  [8f399da3] + Libdl 
  [37e2e46d] + LinearAlgebra 
  [de0858da] + Printf 
  [9a3f8284] + Random 
  [9e88b42a] + Serialization 
  [2f01184e] + SparseArrays 
  [10745b16] + Statistics 
  [4ec0a83e] + Unicode 
   Building MINPACK → `~/.julia/packages/MINPACK/8wsGn/deps/build.log`
    Testing MINPACK
Status `/tmp/jl_vWcNF9/Manifest.toml`
  [b4f34e82] Distances v0.8.2
  [4854310b] MINPACK v1.1.1
  [2a0f44e3] Base64 
  [8ba89e20] Distributed 
  [b77e0a4c] InteractiveUtils 
  [8f399da3] Libdl 
  [37e2e46d] LinearAlgebra 
  [56ddb016] Logging 
  [d6f4376e] Markdown 
  [de0858da] Printf 
  [9a3f8284] Random 
  [9e88b42a] Serialization 
  [6462fe0b] Sockets 
  [2f01184e] SparseArrays 
  [10745b16] Statistics 
  [8dfed614] Test 
  [4ec0a83e] Unicode 
Function                                          Dim    NFEV    NJEV   Final inf-norm     total time
--------------------------------------------------------------------------------------
Rosenbrock-hybr                                     2      16       3     0.000000e+00   9.584958e-01
Rosenbrock-hybr-no_g                                2      16       3     0.000000e+00   3.996678e-01
Rosenbrock-lm                                       2      21      16     0.000000e+00   3.257795e-01
Rosenbrock-lm-no_g                                  2      22      16     0.000000e+00   2.113976e-01
Powell singular-hybr                                4     105       6     6.038676e-35   3.071321e-01
Powell singular-hybr-no_g                           4      96       3     2.278953e-30   1.284357e-01
Powell singular-lm                                  4      59      58     1.540744e-33   2.728260e-01
Powell singular-lm-no_g                             4     235     192     1.080555e-23   3.552319e-01
Powell badly scaled-hybr                            2     169       6     1.712673e-09   2.825261e-01
Powell badly scaled-hybr-no_g                       2     169       6     1.712421e-09   1.351326e-01
Powell badly scaled-lm                              2      19      17     1.110223e-16   2.944117e-01
Powell badly scaled-lm-no_g                         2      19      17     0.000000e+00   1.910975e-01
Wood-hybr                                           4      86       2     3.364109e-11   3.183915e-01
Wood-hybr-no_g                                      4      86       2     3.373679e-11   2.395495e-01
Wood-lm                                             4      32      27     1.920686e-14   2.858540e-01
Wood-lm-no_g                                        4      32      27     1.310063e-14   1.904780e-01
Helical Valley-hybr                                 3      18       3     2.565742e-13   2.920775e-01
Helical Valley-hybr-no_g                            3      18       3     2.565742e-13   1.359551e-01
Helical Valley-lm                                   3      11       8     9.936523e-17   2.769697e-01
Helical Valley-lm-no_g                              3      11       8     8.661763e-17   1.960850e-01
Watson6-hybr                                        6      60       6     3.118270e-13   5.572079e-01
Watson6-hybr-no_g                                   6      60       6     2.739822e-13   1.618865e-01
Watson6-lm                                          6      45      37     1.582588e-14   2.875440e-01
Watson6-lm-no_g                                     6      45      37     6.992670e-15   2.042963e-01
Watson9-hybr                                        9      92       4     3.728515e-12   1.272612e-03
Watson9-hybr-no_g                                   9      95       8     1.715425e-15   1.621455e-03
Watson9-lm                                          9      64      50     2.631359e-14   2.464579e-03
Chebyquad-hybr                                      5      10       1     5.969114e-13   3.146945e-01
Chebyquad-hybr-no_g                                 5      12       1     3.567124e-12   1.341132e-01
Chebyquad-lm                                        5       8       6     1.665335e-16   2.610651e-01
Chebyquad-lm-no_g                                   5       8       6     1.249001e-16   1.845810e-01
Chebyquad-hybr                                      6      13       2     1.317492e-11   1.417090e-04
Chebyquad-hybr-no_g                                 6      13       2     6.447310e-10   1.484540e-04
Chebyquad-lm                                        6      11       7     2.324529e-16   1.434240e-04
Chebyquad-lm-no_g                                   6      11       7     1.249001e-16   1.600780e-04
Chebyquad-hybr                                      7      12       1     4.102544e-12   1.313550e-04
Chebyquad-hybr-no_g                                 7      14       1     2.108302e-10   1.404640e-04
Chebyquad-lm                                        7       9       7     1.665335e-16   1.441500e-04
Chebyquad-lm-no_g                                   7       9       7     2.696256e-16   1.789710e-04
Chebyquad-hybr                                      9      23       2     4.022407e-10   2.880560e-04
Chebyquad-hybr-no_g                                 9      23       2     3.988115e-09   2.978600e-04
Chebyquad-lm                                        9      12       9     2.343804e-16   2.728850e-04
Chebyquad-lm-no_g                                   9      12       9     1.727014e-16   3.356630e-04
Brown almost-linear10-hybr                         10      11       2     4.996004e-15   8.100965e-01
Brown almost-linear10-hybr-no_g                    10      11       2     5.995204e-15   1.320518e-01
Brown almost-linear10-lm                           10      15      13     5.551115e-16   2.784536e-01
Brown almost-linear10-lm-no_g                      10       7       5     1.000000e+00   1.830085e-01
Brown almost-linear30-hybr                         30      12       2     3.474998e-14   1.358485e-03
Brown almost-linear30-hybr-no_g                    30      24       3     2.953193e-14   2.627669e-03
Brown almost-linear30-lm                           30      19      14     1.654232e-14   4.584270e-03
Brown almost-linear30-lm-no_g                      30      11      10     1.354472e-14   2.589880e-03
Brown almost-linear40-hybr                         40      12       2     1.576517e-14   2.586189e-03
Brown almost-linear40-hybr-no_g                    40      30       3     2.353673e-14   5.544004e-03
Brown almost-linear40-lm                           40      19      14     2.409184e-14   9.853787e-03
Brown almost-linear40-lm-no_g                      40      11      10     7.327472e-15   5.204295e-03
Discrete boundary value-hybr                       10       6       1     1.582068e-15   3.098867e-01
Discrete boundary value-hybr-no_g                  10       6       1     1.582068e-15   1.314897e-01
Discrete boundary value-lm                         10       5       4     2.428613e-17   3.017979e-01
Discrete boundary value-lm-no_g                    10       5       4     3.122502e-17   1.867006e-01
Discrete integral equation-hybr                     1       6       1     2.775558e-17   3.277340e-01
Discrete integral equation-hybr-no_g                1       6       1     2.775558e-17   1.371587e-01
Discrete integral equation-lm                       1       5       4     0.000000e+00   2.764571e-01
Discrete integral equation-lm-no_g                  1       5       4     2.775558e-17   2.149901e-01
Discrete integral equation-hybr                    10       6       1     3.164136e-15   1.299630e-04
Discrete integral equation-hybr-no_g               10       6       1     3.219647e-15   1.418090e-04
Discrete integral equation-lm                      10       5       4     2.775558e-17   1.381040e-04
Discrete integral equation-lm-no_g                 10       5       4     5.551115e-17   1.587240e-04
Trigonometric-lm                                   10      28      16     4.295374e-03   6.397734e-01
Trigonometric-lm-no_g                              10      29      16     4.295461e-03   1.879985e-01
Variably dimensioned-hybr                          10      22       1     0.000000e+00   3.408168e-01
Variably dimensioned-hybr-no_g                     10      22       1     2.282952e-12   1.258335e-01
Variably dimensioned-lm                            10      16      15     0.000000e+00   2.638785e-01
Variably dimensioned-lm-no_g                       10      16      15     0.000000e+00   1.861301e-01
Broyden tridiagonal-hybr                           10      12       1     2.377046e-10   2.950535e-01
Broyden tridiagonal-hybr-no_g                      10      12       1     2.377046e-10   1.235611e-01
Broyden tridiagonal-lm                             10       6       5     4.440892e-16   3.158143e-01
Broyden tridiagonal-lm-no_g                        10       6       5     6.661338e-16   2.153764e-01
Broyden banded-hybr                                10      20       1     1.406736e-09   4.179516e-01
Broyden banded-hybr-no_g                           10      20       1     1.406737e-09   1.347943e-01
Broyden banded-lm                                  10       7       6     4.440892e-16   2.708972e-01
Broyden banded-lm-no_g                             10       7       6     6.661338e-16   1.889031e-01
Test Summary: | Pass  Total
minpack       |   81     81
    Testing MINPACK tests passed 
